数据ID,价格
test_0,61.26100415990243
test_1,69.03425523299312
test_2,68.24835931046427
test_3,78.87317800731476
test_4,56.38855879559444
test_5,71.65984135972467
test_6,74.2073668392524
test_7,72.79853206562301
test_8,55.46404337019012
test_9,66.6572731835422
test_10,57.32788391652876
test_11,81.10757804110891
test_12,69.59798429876382
test_13,60.66869791459709
test_14,73.45322876223996
test_15,69.68420870670977
test_16,58.31760630011328
test_17,70.83089905340296
test_18,54.39283660093578
test_19,78.39834244036909
test_20,67.1991389734307
test_21,51.9412260457143
test_22,76.86280083524943
test_23,60.555197812339124
test_24,74.08319201566778
test_25,74.884317975187
test_26,69.67106305536029
test_27,70.20800112752774
test_28,69.2194776887141
test_29,66.32486557466632
test_30,66.36748757832497
test_31,60.08384749486997
test_32,65.79000653324208
test_33,72.97925787142357
test_34,50.75221760236271
test_35,62.544905298678216
test_36,54.76160136766493
test_37,65.17061140147467
test_38,71.55045250005925
test_39,75.16502399280141
test_40,69.60769479228951
test_41,57.297688320905095
test_42,57.33306360817727
test_43,65.70784966368934
test_44,58.87948689312904
test_45,62.33858932813871
test_46,73.14082788306
test_47,69.726125634143
test_48,74.69332703429676
test_49,66.70420679646183
test_50,57.241519230055935
test_51,66.04921408379086
test_52,66.90911305594175
test_53,77.84455593953159
test_54,55.86861270766258
test_55,69.28404865057031
test_56,64.93552976831164
test_57,69.52308548395133
test_58,82.99206821068515
test_59,63.53375005739978
test_60,63.39219179344347
test_61,73.42390818015441
test_62,62.33325786768137
test_63,65.0409561199656
test_64,56.028848097497416
test_65,62.64767558882762
test_66,68.33961755769165
test_67,66.89481502776701
test_68,60.92090155496541
test_69,75.37457291400442
test_70,73.73298992567443
test_71,72.29923559957503
test_72,80.159768612413
test_73,59.61317227309283
test_74,67.69362636200822
test_75,56.69897165247498
test_76,60.59119627342168
test_77,80.0984578780554
test_78,73.54101314687325
test_79,71.75512358293827
test_80,76.10008625234143
test_81,73.0263766100714
test_82,74.79776708300875
test_83,72.79464103786269
test_84,64.55936349996799
test_85,65.70530161750185
test_86,65.2480844979747
test_87,63.51322429540362
test_88,79.65541454986032
test_89,61.58995654852512
test_90,75.92614649919084
test_91,68.43188091739454
test_92,61.0328527226655
test_93,77.6101079594211
test_94,56.87347197367056
test_95,67.5253340135027
test_96,53.13293118288428
test_97,70.80300913320738
test_98,72.56432333642175
test_99,63.38160132821163
test_100,59.18315566928501
test_101,72.1886358099437
test_102,62.357547753855066
test_103,71.75728454001539
test_104,55.35786961277564
test_105,56.273805388130754
test_106,74.02144989113674
test_107,77.25835733467467
test_108,59.07960395355356
test_109,76.62024693423923
test_110,58.587533371622854
test_111,75.31567697033317
test_112,69.82743763401643
test_113,81.69107773952949
test_114,68.51439927117066
test_115,68.69920224186654
test_116,61.194607301607384
test_117,68.80991207406181
test_118,71.81583547507313
test_119,84.11766743198068
test_120,78.88874030764057
test_121,76.34291415438786
test_122,80.99729146495223
test_123,56.93310519737901
test_124,75.56298977690008
test_125,80.77706483629436
test_126,72.92744204369095
test_127,75.82991189059516
test_128,59.60863839623958
test_129,71.14425766131237
test_130,59.854676890344976
test_131,75.5359184242046
test_132,62.946876872945616
test_133,56.266496891186605
test_134,99.64638849818945
test_135,56.23098577725437
test_136,65.22046601018693
test_137,60.579516801465644
test_138,76.23318602626792
test_139,62.72280509074629
test_140,62.320263339645464
test_141,57.90817023301105
test_142,81.29189966399653
test_143,62.10199402175255
test_144,62.278830039507355
test_145,64.80773650405229
test_146,73.03574670569856
test_147,59.51858392241334
test_148,73.18390147858148
test_149,96.25670079722579
test_150,58.22882853372995
test_151,78.17760144534112
test_152,70.96450314630742
test_153,64.80382186863663
test_154,63.07060725606422
test_155,69.52026452621571
test_156,63.155682571757445
test_157,70.8090819852873
test_158,57.616281174224916
test_159,60.058520885326125
test_160,44.966839269689395
test_161,61.231461650446946
test_162,81.70657292411403
test_163,62.93772709633571
test_164,73.54518553669882
test_165,49.257843505630014
test_166,68.56168198958551
test_167,65.31304544726783
test_168,73.35368579293832
test_169,78.38883627530507
test_170,57.297958843443354
test_171,77.79133219608785
test_172,64.89693677620262
test_173,76.19552582609846
test_174,69.53729029096799
test_175,55.81605020937828
test_176,64.14682380932425
test_177,73.36637987152703
test_178,70.43244727551154
test_179,86.81321949975971
test_180,70.27793924981516
test_181,61.56661224156629
test_182,61.441337753721015
test_183,60.12206471518047
test_184,57.73379765952247
test_185,63.683436720970114
test_186,69.46547377897184
test_187,74.89689308181379
test_188,77.72753116185487
test_189,68.53823435762992
test_190,71.15176008309658
test_191,76.61422784473095
test_192,72.22607824574467
test_193,60.06512429822288
test_194,94.58723998994843
test_195,53.92349698099083
test_196,73.26686524778016
test_197,71.05494492490946
test_198,68.56018988876615
test_199,60.79804197888669
test_200,64.7176423735575
test_201,64.99434194081685
test_202,58.37849633541479
test_203,72.74048819946387
test_204,78.80321427931644
test_205,71.67625175935675
test_206,59.87219655221905
test_207,69.56942274640151
test_208,58.487735942631815
test_209,71.28463674212017
test_210,61.05625736821712
test_211,69.05029192368859
test_212,62.89168970157988
test_213,71.82378864667182
test_214,56.095474857176676
test_215,62.15853103641307
test_216,72.2076614980701
test_217,68.78849276788891
test_218,56.84165570424686
test_219,65.70059551371604
test_220,51.69592760138203
test_221,63.18029685318609
test_222,63.34228311912131
test_223,94.04013092460417
test_224,51.834847387141274
test_225,59.731992596536585
test_226,66.82168106611584
test_227,85.88536730876432
test_228,67.34297584848734
test_229,60.85115150602281
test_230,70.64236145589072
test_231,70.29416812920746
test_232,73.65332348516847
test_233,73.50415097063998
test_234,57.767416684073574
test_235,68.32814819812
test_236,61.63845277636569
test_237,69.27461159224283
test_238,66.41415440722436
test_239,70.25986733061544
test_240,60.733963981047125
test_241,60.56616655310972
test_242,56.01970529307613
test_243,83.42772145570737
test_244,69.64055899374364
test_245,68.50873389807265
test_246,71.50831541059398
test_247,59.82286465072381
test_248,60.55924171081698
test_249,74.9228528113514
test_250,68.27573102935347
test_251,59.44417727089191
test_252,72.64072747062342
test_253,58.972949653578155
test_254,68.3456892388118
test_255,78.57206163113413
test_256,74.29258614968961
test_257,55.557073379602144
test_258,68.02949849791928
test_259,72.09337173037912
test_260,63.41323865029105
test_261,71.34207842213732
test_262,63.86751264295183
test_263,64.27689716785966
test_264,79.49421204897484
test_265,55.95207857136647
test_266,65.88873763707535
test_267,56.352060422244755
test_268,69.66575979327084
test_269,74.96342871937624
test_270,66.06321769121958
test_271,61.19220248165969
test_272,76.3739459860774
test_273,69.13264924575175
test_274,61.06509181970877
test_275,76.2622465273282
test_276,73.53356955960646
test_277,71.29738825018589
test_278,75.86672887715703
test_279,63.64547322962497
test_280,73.61932432154616
test_281,65.41235501935356
test_282,81.89242576291078
test_283,60.53559543722456
test_284,64.4466231848703
test_285,70.97987325099247
test_286,61.234363948537734
test_287,73.27526934700849
test_288,64.69633194330409
test_289,58.05268360067801
test_290,75.94869630468797
test_291,73.41648366288324
test_292,76.59949668102564
test_293,66.23408469890298
test_294,69.07462536322143
test_295,66.25325298287412
test_296,68.81033103454912
test_297,67.82665190261537
test_298,81.6992508628416
test_299,61.10147089456406
test_300,56.497213850474914
test_301,69.52648842889995
test_302,57.83634380215975
test_303,68.41160447785366
test_304,89.3171282619546
